prompt,p_agent,p_rule,n,reasoning
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.35,0.4271136306376743,1,"Need probability. High income, frequent buyer, premium stall price 4.20, first time here, already bought 1 item today spending ~6. Early season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is late in the season.",0.3,0.4653545571272787,2,"Need probability. High income, frequent buyer, but new stall, price 4.20, already spent ~4 today, late season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is mid-season.",0.35,0.4010728283067175,3,"Need probability. High income, frequent buyer, premium stall price 4.20, hasn't bought here before, already bought 2 items today spending ~4. Mid-season. Likely moderate chance maybe 30-40%. I'll output 35."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 3 item(s) today, spending about 6. It is early in the season.",0.35,0.5503371192172073,1,"Need probability. High income, frequent buyer, premium stall price 4.20, hasn't bought here before, already bought 3 items today spending ~6 (so average 2). Early season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.65,0.4436319618434764,2,"Need probability. High income, frequent buyer, but new stall, price moderate, early season. Maybe 60%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.6,0.442061951814685,9,"Need probability. High income, frequent buyer, but new stall, price moderate, late season. Maybe 60%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.75,0.4218102390523688,7,"Need probability. High income, frequent buyer, but new stall, price moderate, mid-season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.65,0.5656016396744078,10,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, already bought 1 today spending ~2 (so maybe cheap items). Early season. Likely to buy again? Maybe moderate-high: say 65%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.65,0.5985338752033467,4,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, already bought 1 today spending ~2 (so maybe low spend). Late season may reduce. I'd say moderate high: 65%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.72,0.5344142685123978,10,"Need probability. High income, frequent buyer, premium stall, price 6, previous purchase this day, spent 2 total? Actually spent about 2 so far. Likely to buy again. Mid-season maybe less. I'd say high chance ~70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.65,0.4383189166958102,1,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, already bought 2 items today spending ~4 (so maybe cheap earlier). Early season. Likely to buy again? Maybe moderate-high: say 65%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 2 item(s) today, spending about 4. It is late in the season.",0.65,0.7005334001459875,1,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, already bought 2 items today spending ~4 (so maybe cheap earlier). Late season may reduce. I'd say moderate high: 65%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 2 item(s) today, spending about 4. It is mid-season.",0.65,0.5153250397178044,2,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, already bought 2 items today spending ~4 (so maybe cheap earlier). Mid-season. Likely to buy again? Maybe moderate-high: say 65%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.75,0.567027564259685,6,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, none today, early season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.35,0.5482268337760021,12,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, none today, late season. Likely lower due to season but still high income. Maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.75,0.5632108304161295,10,"Need probability. High income, frequent buyer, premium stall, price 6, bought last week, none today, mid-season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.6,0.7748571041066684,1,"Need probability. High income, frequent buyer, premium stall, price 6, early season? Late season maybe less demand. Already bought 1 today. Likely to buy again? Maybe moderate: 60%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.7,0.6272561713306886,3,"Need probability. High income, frequent buyer, premium stall, price 6, mid-season. Likely to buy again? He already bought 1 today, spent 2 total? maybe low spend. But high-income and frequent. I'd say 70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 6. It is late in the season.",0.7,0.5502147230972662,1,"Need probability. High income, frequent buyer, premium stall, price 6, already bought 1 today, spent ~6. Late season maybe less. I'd say high chance: maybe 70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has already bought 2 item(s) today, spending about 4. It is late in the season.",0.72,0.5870815034748226,2,"Need probability. High income, frequent buyer, premium stall, price 6, already bought 2 items today, spent 4 (so maybe earlier items cheap). Late season may reduce. I'd say high chance ~70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is late in the season.",0.7,0.5635734908823103,2,"Need probability. High income, frequent buyer, premium stall, price 6, two weeks running, hasn't bought today, late season. Likely high but maybe lower due to late season. I'd say 70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is mid-season.",0.75,0.7918564429352282,3,"Need probability. High income, frequent buyer, premium stall, price 6, mid-season, hasn't bought today. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.7,0.787856617427275,1,"Need probability. High income, frequent buyer, premium stall, price 6, early season, already bought 1 today. Likely to buy again? Maybe high but not too high due to price and early season. I'd say 70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 6. It is late in the season.",0.8,0.851932513366129,1,"Need probability. High income, frequent buyer, premium stall, price 6, already bought one today, late season. Likely high chance but maybe slight drop due to late season. I'd say 80%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has bought here 3 weeks running and has bought nothing yet today. It is late in the season.",0.7,0.6866874783055896,1,"Need probability. High income, frequent buyer, premium stall, price 6, 3 weeks running, hasn't bought today, late season. Likely high chance but maybe lower due to late season. I'd say 70%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 1. It is early in the season.",0.35,0.3143716952623095,3,"Need probability. High income, frequent buyer, but new stall, price 6, early season. Likely moderate chance maybe 30-40%. I'll output 35."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 1. It is late in the season.",0.3,0.40857936281106516,2,"Need probability. High income, frequent buyer, but new stall, price 6, early season? Actually late season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 1. It is mid-season.",0.35,0.5075505582070069,1,"Need probability. High income, frequent buyer, premium stall price 6, first time here, already bought 1 item today spending ~1 (so low spend). Mid-season. Likely moderate chance maybe 30-40%. I'll output 35."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.35,0.4342520991620654,43,"Need probability. High income, frequent buyer, but new stall, price 6, early season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.3,0.42154803348533326,63,"Need probability. High income, frequent buyer, but new stall, price 6, early season? Actually late season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.35,0.41832668025639913,47,"Need probability. High income, frequent buyer, premium stall price 6, hasn't bought here before, already bought 1 item today spending ~2, mid-season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is late in the season.",0.3,0.3103546725461707,1,"Need probability. High income, frequent buyer, but new stall, price 6, already spent 6 today, late season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.35,0.3103546725461707,1,"Need probability. High income, frequent buyer, but new stall, price 6, mid-season. Likely moderate chance maybe 30-40%. I'll output 35."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 3. It is early in the season.",0.35,0.45185123737803656,1,"Need probability. High income, frequent buyer, but new stall, price 6, early season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 3. It is late in the season.",0.3,0.3222565925458572,1,"Need probability. High income, frequent buyer, but new stall, price 6, already spent 3 on 2 items earlier. Late season may reduce. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.35,0.4716054163067985,7,"Need probability. High income, frequent buyer, but new stall, price 6, early season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is late in the season.",0.3,0.39342987839749055,8,"Need probability. High income, frequent buyer, but new stall, price 6, already spent 4 on 2 items (so average 2). Late season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is mid-season.",0.35,0.43679950293606695,12,"Need probability. High income, frequent buyer, but new stall, price 6, already spent 4 on 2 items (so average 2). Mid-season. Likely moderate chance maybe 35%."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.65,0.4303264328768153,53,"Need probability. High income, frequent buyer, but new stall, price 6, early season. Maybe moderate high: say 65."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.35,0.43240216464961606,97,"Need probability. High income, frequent buyer, but new stall, price 6, late season. Maybe moderate chance ~30-40. I'll pick 35."
"a high-income shopper, who buys often overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.4,0.4438302921455823,86,"Need probability. High income, frequent buyer, but new stall, price 6, mid-season. Likely moderate chance maybe 35-45. I'll pick 40."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.65,0.8270977655554991,1,"Need probability. High income, occasional buyer, budget stall low price, regular for 2 weeks, already bought 1 today, spent ~6 total. Early season maybe less demand. Likely still buys another? Maybe moderate 60%. I'll output 65."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 2 item(s) today, spending about 8. It is early in the season.",0.35,0.5562783251911918,1,"Need probability. High income, occasional buyer, price low, first time, already spent 8, early season. Likely moderate chance maybe 30%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.15,0.5759887222047372,1,"Need probability. High income, occasional buyer, price $2, early season, already bought one today. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.15,0.6707070034124172,2,"Need probability. High income, occasional buyer, price $2, budget stall, early season, previous purchase this week, already bought 1 today spending ~6 (so maybe other items). Likely low chance to buy again now. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 2 item(s) today, spending about 8. It is early in the season.",0.75,0.6500244465630738,1,"Need probability. High income, buys sometimes, price low, previous purchase, early season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.75,0.6576720701868137,8,"Need probability. High income, occasional buyer, price low, previous purchase, early season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.18,0.5619752248971999,1,"Need probability. High income, occasional buyer, budget stall $2, early season, already bought 1 today. Likely lower chance to buy again. Maybe 20%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is mid-season.",0.65,0.6306419447271713,1,"Need probability. High income, occasional buyer, budget stall $2, mid-season, has bought previous two weeks, none today. Likely to buy? Maybe moderate ~60%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.7,0.6758953387240627,1,"We need probability of buying one unit now. High income, buys sometimes, budget stall price 2.00, has bought 3 weeks running (habit), already bought 1 item today spending ~6 (so maybe 3 items). Mid-season. Likely to buy again? Maybe moderate-high. Let's say 70%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.12,0.5154540396942996,11,"Need probability low because high income, budget stall, first time, early season. Maybe 10%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.15,0.465211170990526,2,"Need probability. High income, buys sometimes, but new stall, price $2, already spent 2 today. Mid-season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.15,0.46731177471378604,7,"Need probability. High income, occasional buyer, price $2, first time, already spent 6, early season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.15,0.417101178241029,2,"Need probability. High income, occasional buyer, new stall, price $2, already spent $6 today, mid-season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.15,0.40219995428280564,4,"Need probability. High income, occasional buyer, price $2, first time, already spent $4 today (two items). Early season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 8. It is early in the season.",0.15,0.41630622389722527,2,"Need probability. High income, occasional buyer, price $2, first time, already spent 8 on day, early season. Likely low. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,0.5195838923880071,14,Need probability low. Maybe 5%.
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.3,0.5447928308805697,2,"Need probability. High income, occasional buyer, premium stall $6, bought last week, none today, early season. Likely lower chance. Maybe 30%."
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is early in the season.",0.75,0.7134202369113058,1,"Need probability. High income, occasional buyer, premium stall, price 6, regular for 2 weeks, none today, early season. Likely high chance maybe 70-80. I'll choose 75."
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.15,0.34803444056342964,3,"Need probability. High income, occasional buyer, premium stall price 6, first time, already bought 1 item today spending ~2, early season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.15,0.3711873355475645,3,"Need probability. High income, occasional buyer, premium stall price 6, hasn't bought here before, already spent 4 on other items, early season. Likely low chance. Maybe 15%."
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.2,0.4290728976008893,12,"Need probability. High income, occasional buyer, premium stall $6, first time, early season. Likely low but some chance. Maybe 20%."
"a high-income shopper, who buys sometimes overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.2,0.5040176203713329,2,"Need probability. High income, occasional buyer, premium stall price 6, first time, mid-season. Likely low but some chance. Maybe 20%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.12,0.462366879535052,2,"Need probability. High income, rare buyer, budget stall $2, bought last week, none today, early season. Likely low chance maybe 10-15%. I'll output 12."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.05,0.5052200861619865,13,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.05,0.4942045800563532,14,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.05,0.30711883695120534,1,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 8. It is early in the season.",0.05,0.45371674857802935,7,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,0.5011857279299794,40,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.05,0.3983174850773985,18,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is early in the season.",0.05,0.38928441472826925,2,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,0.42788820570302866,21,Need probability low. Maybe 5%.
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.75,0.5810701557906587,3,"Need probability. Likely high because frequent buyer, low budget, price cheap, mid-season. Maybe 70-80%. I'll choose 75."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is mid-season.",0.85,0.5051390164377688,2,"Need probability. Likely high because frequent buyer, price low, mid-season. Maybe 80%."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.85,0.5762468838573137,1,"Need probability. Likely high because frequent buyer, low price, mid-season. Maybe 80%."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has bought nothing yet today. It is late in the season.",0.75,0.6533642661722533,1,"Need probability. Likely high because frequent buyer, price low, but late season maybe less stock? Still high. Maybe 70."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has bought nothing yet today. It is mid-season.",0.85,0.6533642661722533,3,"Need probability. Likely high because frequent buyer, price low, mid-season. Maybe 80%."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.42,0.540172673766426,1,"Need probability. Low-budget, buys often, but first time here, price 2, spent 2 already. Mid-season maybe less demand. I'd say moderate chance ~40%."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.35,0.4822412333076003,2,"Need probability. Low-budget, frequent buyer, but new stall, price 2. Early season. Likely moderate chance maybe 30%."
"a low-budget shopper, who buys often overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.35,0.4153116521724861,5,"Need probability. Low-budget, frequent buyer, but new stall, price 2.00, mid-season. Likely moderate chance maybe 35%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.3,0.5092088966588078,1,"Need probability. Low-budget, buys sometimes, price 1.40, already bought 1 today spending ~2 (so maybe two items). Late season may reduce. I'd say 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.18,0.5142457477631134,8,"Need probability. Low-budget, occasional buyer, price 1.40, bought last week, none today, early season. Likely low chance maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.18,0.5570925070672735,8,"Need probability. Low-budget, occasional buyer, price 1.40, bought last week, none today, late season. Likely low chance maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.35,0.4866226179234684,2,"Need probability. Low-budget, buys sometimes overall. Budget stall price 1.40, mid-season. Bought last week, none today. Likely maybe 30%. I'll output 35."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 2 weeks running and has bought nothing yet today. It is early in the season.",0.18,0.641748353969789,5,"Need probability. Low-budget, occasional buyer, price 1.40, regular for 2 weeks, none today, early season. Likely low chance maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 2 weeks running and has bought nothing yet today. It is late in the season.",0.35,0.7721774433420243,1,"Need probability. Low-budget, occasional buyer, price 1.40, has been buying for 2 weeks, but none today. Late season may reduce. Maybe 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.65,0.8316528716699515,1,"Need probability. Given price 1.40, low-budget, buys sometimes overall, has bought 3 weeks running, already bought 1 item today spending ~2 (so maybe 1-2 items). Early season. Likely will buy another? Maybe moderate chance 60%. I'll output 65."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 3 weeks running and has bought nothing yet today. It is early in the season.",0.35,0.769808335669488,3,"Need probability. Low-budget, occasional buyer, price 1.40, regular patron but none today, early season. Maybe 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has bought here 3 weeks running and has bought nothing yet today. It is late in the season.",0.18,0.8298408012982365,3,"Need probability. Low-budget, occasional buyer, price 1.40, 3 weeks streak, none today, late season. Likely lower chance. Maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.12,0.5208220707289896,1,"Need probability. Low-budget, occasional buyer, first time here, price 1.40, already spent ~2 on other items, late season. Likely low chance maybe 15%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.18,0.39586165420412683,29,"Need probability. Low-budget, price 1.40 moderate. Never bought here before, first time. Early season maybe less demand. Overall buys sometimes. I'd say low chance ~20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.18,0.41487977175756235,22,"Need probability. Low-budget, price 1.40 moderate. Never bought here before, hasn't bought anything today. Late season may reduce. Maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.18,0.4332661284027574,9,"Need probability. Low-budget, sometimes buys overall, first time, price 1.40, mid-season. Likely low chance maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 1. It is early in the season.",0.3,0.6138114345690125,1,"Need probability. Low-budget, buys sometimes overall. Budget stall price 2. Early season. Already bought 1 item today spending ~1 (so maybe cheap). Likely to buy again? Maybe moderate low: 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.18,0.385047684836464,1,"Need probability. Low-budget, buys sometimes, price 2, already bought 1 today, spent ~2. Early season. Likely less chance to buy again. Maybe 20%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.35,0.533251665843452,197,"Need probability. Low-budget, buys sometimes overall. Budget stall price 2. Early season. Bought last week. No purchase today. Likely maybe 30%. I'll output 35."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.35,0.5317118802037246,239,"Need probability. Low-budget, occasional buyer, price 2, last week bought, none today, late season. Likely lower chance maybe 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.35,0.5361801026865877,193,"Need probability. Low-budget, buys sometimes overall. Budget stall price 2.00, mid-season. Bought last week, none today. Likely moderate chance maybe 30-40%. I'll output 35."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.35,0.7615212398029133,1,"Need probability. Low-budget, buys sometimes, price 2, already bought 1 today, spent ~2. Mid-season. Likely maybe 30%. I'll output 35."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is early in the season.",0.3,0.6645469731232698,57,"Need probability. Low-budget, occasional buyer, price 2.00, regular for 2 weeks, hasn't bought today, early season. Likely lower chance. Maybe 30%."
"a low-budget shopper, who buys sometimes overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is late in the season.",0.3,0.6539061480301903,99,"Need probability. Low-budget, occasional buyer, price 2.00, has bought 2 weeks running but none today, late season. Likely lower chance. Maybe 30%."
